,SeriesName,Poster,ReleaseYear,Synopsis,Rating,Cast,Director,Network,Genre,Language,ReleaseDate
33,Mo,https://resizing.flixster.com/rGz-D0IHPb5y0z0gtKaqM-DZ61w=/fit-in/180x240/v2/https://resizing.flixster.com/VgIiTU8YLLGtevIEOnm54eIkPik=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjYwZWY0NmUtYTAwMS00MzIzLTg1OTAtODc1NmQzNWRlM2EwLmpwZw==,2022," Mo Najjar straddles the line between two cultures, three languages and a ton of foolishness as a Palestinian refugee constantly... ",100,"Mohammed Amer,Teresa Ruiz,Farah Bsieso,Omar Elba","Mohammed Amer,Ramy Youssef,Ravi Nandan,Hallie Sekoff",Netflix,Comedy,English,"Aug 24, 2022"
34,Arcane: League of Legends,https://resizing.flixster.com/2yosknmQC4jKha_OaFwQCFR22Zk=/fit-in/180x240/v2/https://resizing.flixster.com/SFfLVmXdiFhntYdVoYo2hyBJn9U=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzRiYTc0NzUtZjJhNS00ZTlhLWI4ODMtY2MxNWNjMWU1ZjJmLmpwZw==,2021," The origins of two iconic League champions, set in the utopian Piltover and the oppressed underground of Zaun.... ",100,"Hailee Steinfeld,Katie Leung,Kevin Alejandro,Jason Spisak","Brandon Beck,Marc Merrill,Nicolo Laurent,Jane Chung",Netflix,"Adventure,Fantasy,Animation",English,"Nov 6, 2021"
35,Red Rose,https://resizing.flixster.com/Kdt6WjYTYVbaC2BBkgdYvrjbbfs=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22709344_b_v13_aa.jpg,2022, Teens must survive a summer of terror after downloading a mysterious app called Red Rose. that makes dangerous demands with... ,100,"Amelia Clarkson,Isis Hainsworth,Natalie Blair,Ellis Howard","Ramón Salazar,Joel Wilson,Michael Clarkson,Paul Clarkson",BBC,"Drama,Horror,Mystery & Thriller",British English,"Aug 15, 2022"
36,Carol & the End of the World,https://resizing.flixster.com/phH5W85NVO9C6xr0DkKMPSdjnp8=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p25991700_b_v13_ab.jpg,2023," With a planet hurtling towards Earth, extinction is imminent for humans; while most feel liberated to pursue their wildest dreams,... ",100,"Martha Kelly,Beth Grant,Lawrence Pressman,Kimberly Hebert Gregory","Dan Guterman,Donick Cary",Netflix,"Comedy,Drama,Animation",English,"Dec 15, 2023"
37,Pokémon Concierge,https://resizing.flixster.com/uRaBGxoTG69a8IVdVN_DBZDAgcE=/fit-in/180x240/v2/https://resizing.flixster.com/LUGIs708qFMwqtEM2Y5wulTPN68=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNDNkYWRmNWQtNTNlOS00ZTliLWI4YzUtODk3ZGRlY2IyNjI2LmpwZw==,2023," With the help of concierge Haru, Pokémon relax and have fun at the Pokémon Resort.... ",100,"Non,Ai Fairouz,Eita Okuno,Yoshiko Takemura",Iku Ogawa,Netflix,"Fantasy,Action,Adventure,Anime",Japanese,"Dec 28, 2023"
38,Supacell,https://resizing.flixster.com/RMBch9348jPSii3_TdpETtvnuWs=/fit-in/180x240/v2/https://resizing.flixster.com/yOY3t2eHG5eGdIbr0NvU0sfmu58=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNWZhYmJjNmEtMjUzMS00OGM4LWE2ODctMzg3YjA0NWZiZDZmLmpwZw==,2024," In South London, a group of normal people suddenly develop superpowers, and the only apparent connection between them is that... ",100,"Tosin Cole,Adelayo Adedayo,Nadine Mills,Eric Kofi-Abrefa","Mouktar Mohammed,Anna Ferguson,Steve Searle",Netflix,"Drama,Sci-Fi",British English,"Jun 27, 2024"
39,Cyberpunk: Edgerunners,https://resizing.flixster.com/-P4boIS90UDiDQkHmuFPa4FK-cI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22416085_b_v13_ac.jpg,2022," A street kid tries to survive in a technology and body modification-obsessed city of the future; with everything to lose,... ",100,"Aoi Yuki,Kenn,Kazuhiko Inoue,Kenjiro Tsuda","Rafal Jaki,Hiroyuki Imaishi",Netflix,"Action,Adventure,Sci-Fi,Animation",English,"Sep 13, 2022"
40,Katla,https://resizing.flixster.com/KOb148KtTjGXT48KZnpDQupVot8=/fit-in/180x240/v2/https://resizing.flixster.com/EuXAvv6V-BpJmYOX97lW2zRCiqE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjkyNzExOC53ZWJw,2021, The catastrophic eruption of sub-glacial volcano Katla turns a nearby community's world upside down as mysteries begin to emerge from... ,100,"Guðrún Ýr Eyfjörð,Aliette Opheim,Björn Thors,Guðrún Gísladóttir","Sigurjón Kjartansson,Baltasar Kormákur",Netflix,"Mystery & Thriller,Sci-Fi,Drama",Icelandic,"Jun 17, 2021"
41,Derry Girls,https://resizing.flixster.com/yqsZTrZczlmWQBg1BFcsq9jCK44=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p14938954_b_v13_af.jpg,2018," Set against the backdrop of the Northern Ireland Troubles, this comedy series follows a group of friends as they navigate... ",99,"Saoirse-Monica Jackson,Louisa Harland,Ian McElhinney,Kathy Kiera Clarke","Michael Lennox,Caroline Leddy",Channel 4,"Comedy,Drama",British English,"Jan 4, 2018"
42,Better Call Saul,https://resizing.flixster.com/XgZ2-ghRaUqVe5wuS2N-ztn-3M0=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10492751_b_v13_al.jpg,2015," He wasn't always Saul Goodman, ace attorney for chemist-turned-meth dealer Walter White. Six years before he begins to represent Albuquerque's... ",98,"Bob Odenkirk,Jonathan Banks,Michael Mando,Patrick Fabian","Vince Gilligan,Peter Gould,Mark Johnson,Melissa Bernstein",AMC,Drama,English,"Feb 8, 2015"
43,Beef,https://resizing.flixster.com/7ZfRJWBWxXp7Mbs9EtIZoVF-OXg=/fit-in/180x240/v2/https://resizing.flixster.com/NviVPm4Kig0ifVdF_q4Qh7-oSuc=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMTMxMTgzY2MtN2ZlOC00NGYxLTkzNWMtNzg2NDY1ZjU2ZDYxLmpwZw==,2023, Two strangers get into a road rage incident that brings chaos into their lives.... ,98,"Steven Yeun,Ali Wong,Joseph Lee,Young Mazino","Lee Sung-jin,Ali Wong,Steven Yeun,Jake Schreier",Netflix,Comedy,English,"Apr 6, 2023"
44,Heartstopper,https://resizing.flixster.com/hKzozmrNxSW_EFQYvwVacaNgl-c=/fit-in/180x240/v2/https://resizing.flixster.com/FcvhO4XDT9H0RwgOVJ09LG3Ha_Y=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMDgxZDE2NjItODMzOC00ZDg5LTgzODQtNjk2NGI5YjAyMzVkLmpwZw==,2022, Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love.... ,98,"Kit Connor,Joe Locke,William Gao,Yasmin Finney","Euros Lyn,Iain Canning,Nicky Earnshaw,Hakan Kousetta",Netflix,"Drama,Romance,LGBTQ+",British English,"Apr 22, 2022"
45,Lupin,https://resizing.flixster.com/mL3rC7IsOm0Y_uG4M8qHDqVW7HY=/fit-in/180x240/v2/https://resizing.flixster.com/Q1Xrw4mACrB5nVBc0r7AGweBCaQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzdiZmI5MTUtMWY4Yi00ZjVlLWIyMjMtNzY1MmU4Njk5NzU0LmpwZw==,2021," A retelling of the classic French story about Arsène Lupin, the world-famous gentleman thief and master of disguise.... ",98,"Omar Sy,Ludivine Sagnier,Antoine Gouy,Soufiane Guerrab","Louis Leterrier,Marcela Said,Ludovic Bernard,Hugo Gélin",Netflix,"Mystery & Thriller,Action,Adventure",French (France),"Jan 8, 2021"
46,Baby Reindeer,https://resizing.flixster.com/qCu6cdcPVNaHf-yDGTWcPa6V4EU=/fit-in/180x240/v2/https://resizing.flixster.com/cjbTvM09r1lm1iN7-fyv5DNWYL4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvODk2MmM1ZjAtZmI2Zi00NWU2LTlkODMtOWQ1MzhmZTMzZDFmLmpwZw==,2024," Dealing with a female stalker, a man is forced to face a dark, buried trauma.... ",98,"Richard Gadd,Jessica Gunning,Nava Mau,Tom Goodman-Hill","Weronika Tofilska,Josephine Bornebusch,Richard Gadd,Petra Fried",Netflix,"Drama,Comedy,Crime,Biography",British English,"Apr 11, 2024"
47,Kingdom,https://resizing.flixster.com/Cb1ct0-lL5Oj1OuFR_d8pG7jv-4=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16296544_b_v13_ab.jpg,2019, The deceased king rises and a mysterious plague begins to spread; the prince must face a new breed of enemies... ,98,"Bae Doo-na,Ju Ji-hoon,Ryu Seung-ryong,Kim Sang-ho","Kim Seong-hun,In-je Park",Netflix,"Horror,Action",Korean,"Jan 25, 2019"
48,Insecure,https://resizing.flixster.com/fmspRVOgmm2D-t4USSPqq1UGNGY=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p13107972_b_v13_ab.jpg,2016," Modern-day black women might be described as strong and confident; in other words, just the opposite of Issa and Molly.... ",97,"Issa Rae,Yvonne Orji,Natasha Rothwell,Amanda Seales","Issa Rae,Prentice Penny,Melina Matsoukas,Michael Rotenberg",HBO,Comedy,English,"Oct 9, 2016"
49,I Think You Should Leave With Tim Robinson,https://resizing.flixster.com/e5MU1WXdw2C2rblX-VWEkR5h49g=/fit-in/180x240/v2/https://resizing.flixster.com/ryH_16L4k34s1rcw74ahRgBSpao=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjk0MTM5NC53ZWJw,2019, Actor Tim Robinson stars in this sketch comedy series -- which he also co-created -- that sees him trying to... ,97,Tim Robinson,"Alice Mathias,Akiva Schaffer",Netflix,Comedy,English,"Apr 23, 2019"
50,Top Boy,https://resizing.flixster.com/MOdw5oySJGnznoxIGt3jEIL0TZI=/fit-in/180x240/v2/https://resizing.flixster.com/suPMbIFPaMa4VWAM72eq76mjJ9g=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYjRhYjdkZDQtZGE5OC00NTdmLWFiM2QtZTEzNDJjM2RkMGM1LmpwZw==,2011, This drama takes viewers into the housing estates of East London. There is tension between the drug gangs that operate... ,97,"Kano,Ashley Walters,Shone Romulus,Micheal Ward","Yann Demange,William Stefan Smith,Jonathan Van Tulleken,Brady Hood",Netflix,"Drama,Adventure",English,"Oct 31, 2011"
51,Hellbound,https://resizing.flixster.com/WEP9aHuyPDHXEYtlagBYnRC-14M=/fit-in/180x240/v2/https://resizing.flixster.com/dfCC9xVc4Yd7-v97Rzd35tZXp1U=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZGY1MmM3MjgtZTQ1Yi00OWNiLThiNWItYWYyYmMwZmVkODI1LmpwZw==,2021," Unearthly beings deliver condemnations, sending individuals to hell and giving rise to a religious group founded on the idea of... ",97,"Yoo Ah-in,Kim Hyun-joo,Won Jin-a,Park Jeong-min",Yeon Sang-ho,Netflix,"Crime,Horror,Mystery & Thriller",Korean,"Nov 19, 2021"
52,Unbreakable Kimmy Schmidt,https://resizing.flixster.com/xTt4YILSfyOiBiSsNwsIDhsuTxc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10774004_b_v8_ae.jpg,2015," Rescued after 15 years in a cult, Kimmy Schmidt decides to reclaim her life by venturing to New York, where... ",96,"Ellie Kemper,Tituss Burgess,Jane Krakowski,Carol Kane","Tina Fey,Robert Carlock,Jeff Richmond,David Miner",Netflix,Comedy,English,"Mar 6, 2015"
53,The Queen's Gambit,https://resizing.flixster.com/b_Dn_u_TQJP8aI_aZPa70yHHRjc=/fit-in/180x240/v2/https://resizing.flixster.com/FaDFRcsUpfgU2dYzjohQeu1tP_E=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjc2NDUyMS53ZWJw,2020," Set during the Cold War era, orphaned chess prodigy Beth Harmon struggles with addiction in a quest to become the... ",96,"Anya Taylor-Joy,Marielle Heller,Thomas Brodie-Sangster,Moses Ingram","Scott Frank,Allan Scott,Bill Horberg",Netflix,"Drama,Mystery & Thriller",English,"Oct 23, 2020"
54,Unorthodox,https://resizing.flixster.com/Y0onX40iQbQkyqkWylG4vI_QO7k=/fit-in/180x240/v2/https://resizing.flixster.com/yeN3KuIP_z9_X7kAElH8PKbr4rY=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjY4MjU4MC53ZWJw,2020," A woman flees an arranged marriage in Brooklyn to start a new life abroad, then her past catches up to... ",96,"Shira Haas,Amit Rahav,Jeff Wilbusch,Aaron Altaras",Maria Schrader,Netflix,Drama,English,"Mar 26, 2020"
55,Scott Pilgrim Takes Off,https://resizing.flixster.com/xLnBVs230YzDj28s3Yh_HujIIzQ=/fit-in/180x240/v2/https://resizing.flixster.com/MqGV2qgPatDVGTuI2fTeAhNeNKA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvM2JhMDM5NDQtZDU4ZS00M2M3LTg5YTAtZjgxYTJlMGY0YWExLmpwZw==,2023," After meeting the woman of his dreams, a charming musician finds himself contending with an army of her ex-boyfriends.... ",96,"Michael Cera,Mary Elizabeth Winstead,Kieran Culkin,Chris Evans","Bryan Lee O'Malley,BenDavid Grabinski,Edgar Wright,Nira Park",Netflix,"Comedy,Action,Adventure,Animation",English,"Nov 17, 2023"
56,Aggretsuko,https://resizing.flixster.com/KNli6hzvjxE61Hln00d2duusn-s=/fit-in/180x240/v2/https://resizing.flixster.com/hT_moN55jQSbXKYI_TX0zSocSvg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOGYwYTJlZWQtYWQxMC00ZmFlLWE2N2UtYTczNTlkZDIwODA4LmpwZw==,2018, Retsuko is a 25-year-old red panda who is growing increasingly frustrated with her job in the accounting department of a... ,96,"Kaolip,Shingo Kato,Komegumi Koiwasaki,Maki Tsuruta","Rareko,Taro Goto",Netflix,"Action,Comedy,Anime",Japanese,"Apr 20, 2018"
57,Vikings: Valhalla,https://resizing.flixster.com/DcX0fOD3XEaQKRyOhpZdxTIjiZo=/fit-in/180x240/v2/https://resizing.flixster.com/qkRb2ukpzLY1ngAB8v4V-pU8HbI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMzdjOGJiMTQtN2YxMy00NTEyLWI4OGItMTI4OTEzNzRjOTdiLmpwZw==,2022, The adventures of famous Vikings as they blaze new paths in an ever-changing Europe.... ,96,"Sam Corlett,Leo Suter,Frida Gustavsson,Jóhannes Haukur Jóhannesson","Michael Hirst,Jeb Stuart,Morgan O'Sullivan,Sherry Marsh",Netflix,"History,Drama",English,"Feb 25, 2022"
58,Our Planet,https://resizing.flixster.com/EGR01GmfACD2NqYhMEm16Qj0ZL0=/fit-in/180x240/v2/https://resizing.flixster.com/ByBUDXWrdGI0-WEeT1so6gU6bBw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMWFmMmRhOGQtMWI2My00ZWFlLThmOGQtMjQ4Zjg2NTEzNWQyLmpwZw==,2019, Sir David Attenborough narrates this eight-part series that explores the unique wonders of the natural world. Produced in partnership with... ,96,David Attenborough,"Alastair Fothergill,Keith Scholey",Netflix,"Documentary,Nature,Special Interest",English,"Apr 5, 2019"
59,Blue Eye Samurai,https://resizing.flixster.com/NRIbY77vjJyAPfxSAmFIX7KZk_4=/fit-in/180x240/v2/https://resizing.flixster.com/eIGDgGTAbtVm_PFc-_I_AdQnoyI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYWIxYTAyYzItZWEwNy00YjM4LTkxODMtN2E4ZDE0ZmZmNWZkLmpwZw==,2023, A master of the sword lives life in disguise while seeking revenge in Edo-period Japan.... ,96,"Maya Erskine,George Takei,Masi Oka,Randall Park","Michael Green,Erwin Stoff,Amber Noizumi",Netflix,"Action,Adventure,Animation",English,"Nov 3, 2023"
60,American Nightmare,https://resizing.flixster.com/zJ4IFEdAFGmLcCDHnvjwSK9Fe7o=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p26453331_b_v10_aa.jpg,2024," After a harrowing home invasion and kidnapping in 2015, a couple is accused of staging the ordeal when the woman... ",96,,"Bernadette Higgins,Felicity Morris,Rebecca North,Fiona Stourton",Netflix,"Documentary,Crime",English,"Jan 17, 2024"
61,Dark,https://resizing.flixster.com/Lw6mhr8nCh9P1YuyeMhury8paSw=/fit-in/180x240/v2/https://resizing.flixster.com/lpJkDxnEFNQT1OWJjnmYfvpAHJ0=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjI2NjgyOS53ZWJw,2017," When two children go missing in a small German town, its sinful past is exposed along with the double lives... ",95,"Oliver Masucci,Karoline Eichhorn,Jördis Triebel,Louis Hofmann","Baran bo Odar,Quirin Berg,Baran bo Odar,Jantje Friese",Netflix,"Mystery & Thriller,Crime,Drama",German,"Dec 1, 2017"
62,Documentary Now!,https://resizing.flixster.com/AYT7FX5nctoUTVxhqjFQU5sSJCE=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p11781959_b_v10_ag.jpg,2015," ""Saturday Night Live"" compatriots Fred Armisen, Bill Hader and Seth Meyers serve as creators, executive producers and writers of this... ",95,"Fred Armisen,Bill Hader,Helen Mirren","Fred Armisen,Bill Hader,Seth Meyers,Lorne Michaels",IFC,Comedy,English,"Aug 20, 2015"
63,Queen Charlotte: A Bridgerton Story,https://resizing.flixster.com/aBqsto38f2UalL9msUc9uR3DzeQ=/fit-in/180x240/v2/https://resizing.flixster.com/5P4zeGezbaRHsI8bvp744hiGgPM=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMWQ4ZDc0NzYtMTFlOS00YzQ1LTg5ODItN2U1YzA5MWMyMWZiLmpwZw==,2023, The young queen's marriage to King George of England ushers in an epic love story and transforms high society.... ,95,"India Amarteifio,Adjoa Andoh,Michelle Fairley,Ruth Gemmell","Shonda Rhimes,Betsy Beers,Tom Verica",Netflix,"Drama,Romance",English,"May 4, 2023"
64,Squid Game,https://resizing.flixster.com/XHqnobTc3sb3j5FF2EV2b4kqm4E=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p20492187_b_v8_ah.jpg,2021," Hundreds of cash-strapped contestants accept an invitation to compete in children's games for a tempting prize, but the stakes are... ",95,"Lee Jung-jae,Park Hae-soo,Oh Yeong-su,Wi Ha-joon",Hwang Dong-hyuk,Netflix,"Drama,Mystery & Thriller",Korean,"Sep 17, 2021"
65,Masters of the Universe: Revelation,https://resizing.flixster.com/KeDkAtYouogNlbJ6STOpgl947Wg=/fit-in/180x240/v2/https://resizing.flixster.com/6X25rEigAFN9CRzzZx0V3GyGQPk=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjk3OTc1OS53ZWJw,2021, The war for Eternia begins again in what may be the final battle between He-Man and Skeletor.... ,95,"Chris Wood,Mark Hamill,Lena Headey,Sarah Michelle Gellar","Kevin Smith,Roberto Davide,Adam Bonnett,Christopher Keenan",Netflix,"Fantasy,Action,Adventure,Animation",English,"Jul 23, 2021"
