,SeriesName,Poster,ReleaseYear,Synopsis,Rating,Cast,Director,Network,Genre,Language,ReleaseDate
66,Transatlantic,https://resizing.flixster.com/f5td4ni_QpvrGWXb5wXnOoKCT2c=/fit-in/180x240/v2/https://resizing.flixster.com/FgZ2zpX3VYP3pUDFXrs2epzym9c=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYTAyZWQ3MDYtOTNmOC00NGYyLWI5MTItN2FkNmM5NzdmMGJhLmpwZw==,2023," Transatlantic is inspired by the true story of Varian Fry, Mary Jayne Gold and the Emergency Rescue Committee. Risking their... ",95,"Cory Michael Smith,Gillian Jacobs,Lucas Englander,Deleila Piasko","Anna Winger,Julie Orringer,Camille McCurry",Netflix,"History,Drama",British English,"Apr 7, 2023"
67,Sex Education,https://resizing.flixster.com/u7HVoGhNBDw-nfz1Mo9z00Q17Wc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p16314961_b_v13_al.jpg,2019," Socially awkward high school student Otis may not have much experience in the lovemaking department, but he gets good guidance... ",94,"Asa Butterfield,Gillian Anderson,Ncuti Gatwa,Aimee Lou Wood","Jamie Campbell,Ben Taylor,Laurie Nunn,Runyararo Mapfumo",Netflix,"Comedy,Drama",English,"Jan 11, 2019"
68,Big Mouth,https://resizing.flixster.com/nG7i_dJvjQcj7gOyh4grt0eKQTU=/fit-in/180x240/v2/https://resizing.flixster.com/scubWRMYJjvPPCYmRUuYd3w5S6w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYWU0NDIwMmMtOGU2NC00ODEwLWEyNjktNzY0MjU3MWIzMDdlLmpwZw==,2017," Even for a cartoon character, going through puberty isn't easy for a young person. Andrew is learning that first hand... ",94,"Nick Kroll,John Mulaney,Jessi Klein,Jason Mantzoukas","Nick Kroll,Andrew Goldberg,Mark Levin,Jennifer Flackett",Netflix,"Comedy,Animation",English,"Sep 29, 2017"
69,Maid,https://resizing.flixster.com/awRHEeJEolqF2JH96X1kQGdPuUc=/fit-in/180x240/v2/https://resizing.flixster.com/_vt7y0i8AVB666VwAEr0CfmlvMg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOGNmN2QzNDItNTJjNS00MGZlLWEwZmMtODQ3NjM1NGJhZjY3LmpwZw==,2021, Single mother Alex turns to housecleaning to make ends meet as she escapes an abusive relationship and overcomes homelessness to... ,94,"Margaret Qualley,Nick Robinson,Anika Noni Rose,Tracy Vilar","John Wells,Molly Smith Metzler,Margot Robbie,Tom Ackerley",Netflix,Drama,English,"Oct 1, 2021"
70,Teenage Bounty Hunters,https://resizing.flixster.com/a-x-2GQbIDnmfGl4cSc2UdSrRVg=/fit-in/180x240/v2/https://resizing.flixster.com/cWfz-jy86LV4SuMm7zlf2xQm1Gs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjczNDcyOC53ZWJw,2020, Twin sisters Blair and Sterling balance teen life at an elite Southern high school with an unlikely new career as... ,94,"Anjelica Bette Fellini,Maddie Phillips,Kadeem Hardison,Virginia Williams",,Netflix,"Crime,Drama",English,"Aug 14, 2020"
71,Lost Ollie,https://resizing.flixster.com/yB6ValgYmEgHQBEYYAWN_BUJoCk=/fit-in/180x240/v2/https://resizing.flixster.com/RyPEDm6lh0JOWN93j_49szGyR-Y=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOTMzZDY4MWItMWE3ZC00NjNlLTliMWQtMDExYWM1YWZjMjdjLmpwZw==,2022, A toy goes in search of the boy who lost him.... ,94,"Jonathan Groff,Mary J. Blige,Tim Blake Nelson,Gina Rodriguez","Shawn Levy,Josh S. Barry,Brandon Oldenburg,Lampton Enochs",Netflix,"Drama,Fantasy,Animation",English,"Aug 24, 2022"
72,Never Have I Ever,https://resizing.flixster.com/QWpB0r-Z1oy7uZSSW7qBHm4A1MI=/fit-in/180x240/v2/https://resizing.flixster.com/ZUhHpJCOJmPu7ro7DxecAetusnE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNmI5OGY3ZWMtYjY1Mi00NGEwLTgxYmEtNjUyNjRmNGE2MDQ5LmpwZw==,2020, The complicated life of a first-generation Indian-American teenager.... ,93,"Maitreyi Ramakrishnan,Poorna Jagannathan,Richa Moorjani,Jaren Lewison","Mindy Kaling,Lang Fisher,Howard Klein,David Miner",Netflix,"Comedy,Drama",English,"Apr 27, 2020"
73,Peaky Blinders,https://resizing.flixster.com/O6GH14o9wHc3zrby_ehK2UeKH5M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10182728_b_v13_bd.jpg,2013," Britain is a mixture of despair and hedonism in 1919 in the aftermath of the Great War. Returning soldiers, newly... ",93,"Cillian Murphy,Natasha O'Keeffe,Paul Anderson,Sophie Rundle","Otto Bathurst,Anthony Byrne",BBC,"History,Drama",British English,"Sep 12, 2013"
74,Cabinet of Curiosities,https://resizing.flixster.com/TIQp-hOg_YgD3kdpXLL7GrMC-Eg=/fit-in/180x240/v2/https://resizing.flixster.com/roluxihKzjj6vRYBIlY_SehifZQ=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOWJmNmI4OWQtYjJiNC00OGY1LTgyNWQtMTI5MmZhNTNhMDc5LmpwZw==,2022, An anthology of sinister stories told by revered horror creators.... ,93,Guillermo del Toro,"Guillermo del Toro,J. Miles Dale,Gary Ungar",Netflix,"Horror,Mystery & Thriller",English,"Oct 25, 2022"
75,Warrior,https://resizing.flixster.com/oEwsf0qjNPVsNKSaE7UVGCfo3cY=/fit-in/180x240/v2/https://resizing.flixster.com/MgCU4gNRxwj8hn0IPEh1NZD1DeU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMGRhMGQwOWUtNWZiYy00NzBkLWE2ODEtMTk0ZTA3N2Q2NjA3LmpwZw==,2019, A crime drama that takes place in the latter half of the 19th century during brutal gang wars in San... ,93,"Andrew Koji,Jason Tobin,Olivia Cheng,Kieran Bew","Brad Kane,Danielle Woodrow,Jonathan Tropper,Justin Lin",Max,"Action,Drama",English,"Apr 5, 2019"
76,Cobra Kai,https://resizing.flixster.com/HLEATobSNU3-A4Ug-9-GqNaq-MA=/fit-in/180x240/v2/https://resizing.flixster.com/Z-kHbJr9r5PLceKAxepwdo1ScGk=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNTg0MWE3M2MtNjI0Ny00NmY3LThlOWUtNWYwNjU2ODE0ZjA4LmpwZw==,2018," Thirty four years after events of the 1984 All Valley Karate Tournament, a down-and-out Johnny Lawrence seeks redemption by reopening... ",92,"Ralph Macchio,William Zabka,Courtney Henggeler,Xolo Maridueña","Josh Heald,Jon Hurwitz,Hayden Schlossberg,James Lassiter",Netflix,"Comedy,Drama,Action",English,"May 2, 2018"
77,You,https://resizing.flixster.com/izfZ9PpaOS7xc0CAi_Jq140_CEY=/fit-in/180x240/v2/https://resizing.flixster.com/g81COrwvWE7pqUEIVL0271ZsFT4=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMjVhYWZjMGMtY2I4MS00ZWE2LWE5NTEtNTVlZDRjMDE3ZGU1LmpwZw==,2018," What would you do for love? For a brilliant male bookstore manager who crosses paths with an aspiring female writer,... ",92,"Penn Badgley,Tati Gabrielle,Charlotte Ritchie,Lukas Gage","Greg Berlanti,Sera Gamble,Sarah Schechter,Leslie Morgenstein",Netflix,"Drama,Mystery & Thriller",English,"Sep 9, 2018"
78,Sweet Tooth,https://resizing.flixster.com/Eh1LF7Rk3r_53moyk7gnTUVVuF4=/fit-in/180x240/v2/https://resizing.flixster.com/0S4m6CWtSFY7M_s1liJbF76Ju4w=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvY2JiODhiMjYtZTE0OS00OTE1LWE5NWItYjBkZDJhMTlmNGIyLmpwZw==,2021," On a perilous adventure in a post-apocalyptic world, a boy who's half-human and half deer searches for a new beginning... ",92,"Christian Convery,Nonso Anozie,Adeel Akhtar,Stefania Owen","Jim Mickle,Robert Downey Jr.,Susan Downey,Amanda Burrell",Netflix,"Drama,Fantasy,Action,Adventure",English,"Jun 4, 2021"
79,The Venture Bros.,https://resizing.flixster.com/nPd1mhiYmXwu_3Fet-Iei7CxgVI=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p186253_b_v8_ac.jpg,2003," ""Jonny Quest"" gets an irreverent but affectionate spoofing in this animated series chronicling the sometimes hair-raising adventures of Hank and... ",92,"Jackson Publick,Michael Sinterniklaas,Patrick Warburton",,Cartoon Network,"Comedy,Animation",English,"Feb 16, 2003"
80,Dead Boy Detectives,https://resizing.flixster.com/es_Vo5Vn3YAZuCfToAIdbCQluSI=/fit-in/180x240/v2/https://resizing.flixster.com/NIZFAh2ButDsOmY7Eof0bak4doE=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvOTgyZTJkZTktYzgxYy00MDRmLTgyZjAtNzYzNzk5ODc5NWI2LmpwZw==,2024," Two teenage ghosts work alongside a clairvoyant to solve mysteries for their supernatural clientele, until a powerful witch complicates their... ",92,"George Rexstrew,Jayden Revri,Kassius Nelson,Yuyu Kitamura","Steve Yockey,Beth Schwartz,Jeremy Carver,Greg Berlanti",Netflix,"Comedy,Drama,Mystery & Thriller,Fantasy,Action,Adventure,LGBTQ+",English,"Apr 25, 2024"
81,Criminal: UK,https://resizing.flixster.com/no52ISHR5FRoMriFV3Nf3OzYtrw=/fit-in/180x240/v2/https://resizing.flixster.com/zPlErb8-27XKZaCgF0GW_-RRtKs=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjU2NTI2OS53ZWJw,2019," In a grueling interview, detectives pressure a taciturn doctor to confess to a murder.... ",92,"Katherine Kelly,Lee Ingleby,Nicholas Pinnock,Mark Stanley","Jim Field Smith,George Kay",Netflix,"Crime,Drama,Mystery & Thriller",British English,"Sep 20, 2019"
82,Jurassic World: Camp Cretaceous,https://resizing.flixster.com/RF_q-PKLIXIzkg7Uk4VGap6B2-g=/fit-in/180x240/v2/https://resizing.flixster.com/X-6cVKTBLDLIbJPc6i2jUBvwlF8=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjczMzkzOS53ZWJw,2020, Teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak... ,92,"Paul-Mikél Williams,Jenna Ortega,Ryan Potter,Raini Rodriguez","Scott Kreamer,Lane Lueras,Steven Spielberg,Frank Marshall",Netflix,"Kids & Family,Action,Adventure,Animation",English,"Sep 18, 2020"
83,Tribes of Europa,https://resizing.flixster.com/LcwqfLUv-SxJv4M3b4aV6wSn8GE=/fit-in/180x240/v2/https://resizing.flixster.com/AASijpxTmTZO_bsR2IwW-q_38jU=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjgyNzU3MC53ZWJw,2021," In 2070, three siblings set out to change the fate of Europe after a global catastrophe fractures it into countless... ",92,"Emilio Sakraya,Henriette Confurius,David Ali Rashed",,Netflix,"Sci-Fi,Drama",German,"Feb 19, 2021"
84,Dragon Age: Absolution,https://resizing.flixster.com/IdKrd8_kAJk7ixVr5NaxnLT9rjk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p22513827_b_v10_aa.jpg,2022," With great power at stake, a group of rebel mages and thieves goes head to head against a sinister force... ",92,"Kimberly Brooks,Matthew Mercer,Ashly Burch,Sumalee Montano","Mairghread Scott,Matt Goldman,John Epler,Chris Bain",Netflix,"Fantasy,Action,Adventure,Animation",English,"Dec 9, 2022"
85,Stranger Things,https://resizing.flixster.com/6dvT7Cu4zNmzYPZneRRF3vv34Hc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12991665_b_v13_am.jpg,2016," Mysteries unravel in a small Midwestern town in the 1980s, involving supernatural forces, secret experiments and one strange girl.... ",91,"Winona Ryder,David Harbour,Millie Bobby Brown,Finn Wolfhard","Matt Duffer,Ross Duffer,Shawn Levy,Dan Cohen",Netflix,"Drama,Sci-Fi,Horror,Mystery & Thriller",English,"Jul 15, 2016"
86,One Day,https://resizing.flixster.com/0nqMc5nyWhF44hbIgfi5mL7VVgA=/fit-in/180x240/v2/https://resizing.flixster.com/eLVWFWXMt1K_qbN4aG_vjQ5asUA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvNjUyYTg4YTAtMDJlNy00Y2Q1LTgzODItMmMyZGRmNDNjODQ4LmpwZw==,2024," After graduation, Emma and Dexter go their separate ways; however, fate leads to the unexpected.... ",91,"Leo Woodall,Ambika Mod,Amber Grappy,Tim McInnerny","Molly Manners,Luke Snellin,John Hardwick,Kate Hewitt",Netflix,"Romance,Comedy,Drama",British English,"Feb 8, 2024"
87,The Last Kingdom,https://resizing.flixster.com/hU3UIQVpqzkyLa0zHreYCRAHmpk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p12079367_b_v8_an.jpg,2015," As a child, Uhtred witnessed his father being killed and the Saxon army defeated by invading troops. Danish warlord Earl... ",91,"Alexander Dreymon,Emily Cox,Timothy Innes,Millie Brady","Gareth Neame,Nigel Marchant,Stephen Butchard",BBC America,"History,Drama",British English,"Oct 10, 2015"
88,Raising Dion,https://resizing.flixster.com/J_wjNh36J4PjKii963HFkgyy0XY=/fit-in/180x240/v2/https://resizing.flixster.com/T-O2bJu25lNpJ7Rbd3dJ-1Akf8c=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjU3MDM3MC53ZWJw,2019, A single mother must hide her young son's superpowers to protect him from exploitation while investigating their origins and her... ,91,"Alisha Wainwright,Ja'Siah Young,Jazmyn Simon,Sammi Haney","Carol Barbee,Seith Mann,Dennis Liu,Michael B. Jordan",Netflix,"Kids & Family,Drama,Sci-Fi",English,"Oct 4, 2019"
89,The Midnight Gospel,https://resizing.flixster.com/dVUY9zBwgt6fE4o0S0nqDMUtr7U=/fit-in/180x240/v2/https://resizing.flixster.com/ZdgniublR0lXATkOuUgAJR6v2Qw=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjY5NzQxNi53ZWJw,2020," A space caster traverses trippy worlds inside his universe simulator, exploring existential questions about life, death and everything in between.... ",91,"Duncan Trussell,Phil Hendrie,Dr. Drew,Joey Diaz","Antonio Canobbio,Ben Kalina,Chris Prynoski,Duncan Trussell",Netflix,"Fantasy,Comedy,Animation",English,"Apr 20, 2020"
90,The Fall of the House of Usher,https://resizing.flixster.com/Cj20EOlj60AfbKZf3rJIsuz2dUY=/fit-in/180x240/v2/https://resizing.flixster.com/tCTi-vUUB6F6ECGpQcdPwXaoPJI=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvYzM5ODBjOWItMDQyZi00OWI4LWE4ZmEtM2JiMjRkOTYwNDNlLmpwZw==,2023," Siblings Roderick and Madeline Usher have built a pharmaceutical company into an empire of wealth, privilege and power; however, secrets... ",90,"Bruce Greenwood,Carla Gugino,Mary McDonnell,Carl Lumbly","Mike Flanagan,Trevor Macy,Emmy Grinwis,Michael Fimognari",Netflix,"Drama,Horror",English,"Oct 12, 2023"
91,House,https://resizing.flixster.com/xSmktpghNs0cSX2dDtL5tuOPqeU=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p185044_b_v8_ab.jpg,2004," At fictional Princeton Plainsboro Teaching Hospital in New Jersey, prickly genius Dr. Gregory House tackles health mysteries as would a... ",90,"Hugh Laurie,Robert Sean Leonard,Omar Epps,Jesse Spencer","Paul Attanasio,Katie Jacobs,David Shore,Bryan Singer",Fox,"Drama,Mystery & Thriller",English,"Nov 16, 2004"
92,The Flash,https://resizing.flixster.com/LtPwTUBwozL8zIC9yZYhn-o_VLc=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p10781465_b_v12_az.jpg,2014," At 11, Barry Allen's life changed completely when his mother died in a freak accident and his innocent father was... ",89,"Grant Gustin,Candice Patton,Danielle Panabaker,Danielle Nicolet","Greg Berlanti,Sarah Schechter,Eric Wallace,Sam Chalsen",The CW,"Drama,Action,Adventure,Fantasy",English,"Oct 7, 2014"
93,Monk,https://resizing.flixster.com/LZ2SryOgMgLIziCCAFjwYYAYG7M=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p184807_b_v8_ah.jpg,2002," After the unsolved murder of his wife, Adrian Monk develops obsessive-compulsive disorder, which includes his terror of germs and contamination.... ",89,"Tony Shalhoub,Ted Levine,Traylor Howard,Jason Gray-Stanford","Andy Breckman,David Hoberman",USA,"Crime,Drama,Comedy",English,"Jul 12, 2002"
94,All of Us Are Dead,https://resizing.flixster.com/Q2789vmoqntq_L4cnWTe46bEgJk=/fit-in/180x240/v2/https://resizing.flixster.com/-XZAfHZM39UwaGJIFWKAE8fS0ak=/v3/t/assets/p21368395_b_v9_ab.jpg,2022, Trapped students must escape their high school which has become ground zero for a zombie virus outbreak.... ,89,"Park Ji-hu,Yoon Chan-Young,Cho Yi-hyun,Lomon",Lee Jae-gyu,Netflix,"Horror,Mystery & Thriller,Action",Korean,"Jan 28, 2022"
95,The Sandman,https://resizing.flixster.com/9Ebm4FucFoePfPImJzwf88kIznA=/fit-in/180x240/v2/https://resizing.flixster.com/BcPdHRsYlUa2yZnwdWZDXU3YjKg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvZmFlMTZiNzUtZmU2ZC00MDgxLWJjY2UtNTk2YzdhMmM5OGE2LmpwZw==,2022," When the Sandman, aka Dream, the cosmic being who controls all dreams, is captured and held prisoner for more than... ",88,"Tom Sturridge,Gwendoline Christie,Vivienne Acheampong,Boyd Holbrook","Allan Heinberg,David S. Goyer,Neil Gaiman,Mike Barker",Netflix,"Drama,Fantasy",English,"Aug 5, 2022"
96,Dead to Me,https://resizing.flixster.com/Xrd-2Hk9d2pgHFFGuE5I9WW_ZfU=/fit-in/180x240/v2/https://resizing.flixster.com/pcW9SEGZEP3yQaqzis6zQ7x-4KA=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvMjE2NjUyZTAtNDYwNi00NTQ5LTgxZjAtNzllMzE5MzJmM2I0LmpwZw==,2019," Jen's husband recently died in a hit-and-run, and the sardonic widow is determined to solve the crime. Optimistic free spirit... ",88,"Christina Applegate,Linda Cardellini,James Marsden,Max Jenkins","Liz Feldman,Jessica Elbaum,Christie Smith,Christina Applegate",Netflix,Comedy,English,"May 3, 2019"
97,The Haunting of Bly Manor,https://resizing.flixster.com/jeRE9hxgWg0GxmsRcSugeXIHFq8=/fit-in/180x240/v2/https://resizing.flixster.com/_Y8h3VahayPBmBGOlrPz_495pt0=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjc1MDM0Ni53ZWJw,2020, A young governess arrives at Bly Manor and begins to see apparitions haunting the estate.... ,88,"Victoria Pedretti,Oliver Jackson-Cohen,Henry Thomas,Amelia Eve","Justin Falvey,Mike Flanagan,Diane Ademu-John,Trevor Macy",Netflix,"Drama,Horror",English,"Oct 9, 2020"
98,Delhi Crime,https://resizing.flixster.com/AndWT02xxY8RZU_xJiCsgsxpaJg=/fit-in/180x240/v2/https://resizing.flixster.com/vnNBCfucVjgo8tyQbLjjnBIo-bg=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjQ0NzQxNS53ZWJw,2019," DCP Vartika Chaturvedi leads a team that investigates headline-grabbing Delhi crimes, including rapes and murder sprees.... ",88,"Shefali Shetty,Rajesh Tailang,Rasika Dugal,Adil Hussain","Aaron Kaplan,Jeff Sagansky,Florence Sloan,Apoorva Bakshi",Netflix,"Crime,Drama",Hindi,"Mar 22, 2019"
99,Midnight Mass,https://resizing.flixster.com/2LyPfn0D2CXqO59wIfjQ2YlhymE=/fit-in/180x240/v2/https://resizing.flixster.com/pdxyT6znP1Juc0UaB20T4uMm21E=/ems.cHJkLWVtcy1hc3NldHMvdHZzZXJpZXMvUlRUVjEwMTIyOTcud2VicA==,2021," The arrival of a charismatic priest brings miracles, mysteries and renewed religious fervor to a dying town.... ",87,"Zach Gilford,Kate Siegel,Hamish Linklater,Annabeth Gish",Mike Flanagan,Netflix,"Drama,Horror",English,"Sep 24, 2021"
